city,state,average,current,percent,lat,long
Raleigh,NC,5.4,5.6,104,35.77959,-78.638179
Syracuse,NY,92,95.6,104,43.025062,-76.111218
Ely,NV,25.4,26.2,103,39.247439,-114.88863
Nome,AK,39.4,39.7,101,64.501111,-165.406389
Sault Ste Marie,MI,83.5,84.4,101,46.434053,-84.352665
Medford,OR,3.4,3.4,100,42.867903,-122.437057
Glasgow,MT,20.4,20.1,99,48.196964,-106.636713
Pueblo,CO,15.8,15.1,96,38.270688,-104.606992
Burlington,VT,55.4,51.9,94,44.475883,-73.212072
Fargo,ND,29.4,27.3,93,46.754846,-96.796819
Lander,WY,28,25.8,92,42.8353,-108.741344
Evansville,IN,10.4,9.5,91,37.971559,-87.57109
Bismarck,ND,26.3,23.6,90,46.90224,-100.793238
Albuquerque,NM,6.6,5.8,88,34.924101,-106.690554
Spokane,WA,32.8,28.7,88,47.65878,-117.426047
Salt Lake City,UT,36.4,31.4,86,40.768351,-111.879658
Boise,ID,14.9,12.4,83,43.61871,-116.214607
Omaha,NE,18.4,14.5,79,14.594592,120.966728
Fairbanks,AK,30.5,23.9,78,64.837778,-147.716389
Grand Island,NE,17.9,13.3,74,39.158088,-84.570826
Amarillo,TX,11.3,7.8,69,35.221997,-101.831297
Pocatallo,ID,26.6,17.4,65,42.8752,-112.4473
Sioux City,IA,21.1,12.9,61,42.487062,-96.387914
Norfolk,NE,17.9,10.5,59,42.032723,-97.413755
Minot,ND,23.4,13,56,48.232621,-101.29337
Bethel,AK,27.9,15.2,54,60.792222,-161.755833
Alamosa,CO,12.3,6.5,53,37.748632,-106.038391
Carson City,NV,15.5,5.8,37,39.005503,-119.847163
Flagstaff,AZ,61,19.7,32,35.222245,-111.571447
Lubbock,TX,6.5,2,31,33.590008,-101.827091
Elko,NV,26.8,6.6,25,40.838139,-115.797561
Midland,TX,4,0.7,18,32.02259,-102.147025
Nashville,TN,5.4,0.9,17,36.046196,-86.666863
South Bend,IN,52.9,6.7,13,41.317534,-95.076161
Memphis,TN,3.4,0.3,9,35.143996,-90.047634
